ncaa_id,team,player_id,name,jersey,height_ft,height_in,position_clean,year_clean,redshirt,hometown_clean,state_clean,country_clean
754,Washington State,12066,Kaia Woods,0,5,3,GUARD,Sophomore,0,"TIFFIN, OHIO",OH,USA
754,Washington State,12067,Astera Tuhina,11,5,9,GUARD,Freshman,0,"PRISTINA, KOSOVO",,KOSOVO
754,Washington State,12068,Kyra Gardner,12,5,11,GUARD,Freshman,0,"RAYMOND, WASH",WA,USA
754,Washington State,12069,Lauren Glazier,25,6,4,FORWARD/CENTER,Freshman,0,"NORTH BEND, WASH",WA,USA
754,Washington State,12070,Cia Eklöf,45,5,10,GUARD,Freshman,0,"HELSINKI, FINLAND",,FINLAND
545,Pittsburgh,12071,Amber Brown,5,6,0,FORWARD,Senior,0,"MONROE, LA",LA,USA
545,Pittsburgh,12072,Sandrine Clesca,0,5,9,GUARD,Junior,0,"LAVAL, QUEBEC, CANADA",,CANADA
545,Pittsburgh,12073,Taisha Exanor,3,6,0,GUARD,Junior,0,"CHATEAUGUAY, QUEBEC, CANADA",,CANADA
545,Pittsburgh,12074,Liatu King,2,6,0,FORWARD,Junior,0,"WASHINGTON, DC",DC,USA
545,Pittsburgh,12075,Cynthia Ezeja,14,6,2,FORWARD,Junior,1,"ATHENS, GREECE",,GREECE
545,Pittsburgh,12076,Dayshanette Harris,1,5,7,GUARD,Senior,0,"YOUNGSTOWN, OH",OH,USA
545,Pittsburgh,12077,Emy Hayford,4,5,8,GUARD,Senior,0,"MAASTRICHT, THE NETHERLANDS",,THE NETHERLANDS
545,Pittsburgh,12078,Maliyah Johnson,21,6,0,FORWARD,Sophomore,0,"COLUMBUS, OH",OH,USA
700,Texas Tech,12078,Bryn Gerlich,10,6,0,FORWARD,Senior,0,"COLLEYVILLE, TEXAS",TX,USA
545,Pittsburgh,12079,Destiny Strother,13,5,9,GUARD,Senior,0,"FLINT, MI",MI,USA
700,Texas Tech,12079,Rhyle McKinney,5,5,9,GUARD,Sophomore,0,"ARGYLE, TEXAS",TX,USA
700,Texas Tech,12080,Bre'Amber Scott,23,5,11,GUARD,Senior,0,"LITTLE ROCK, ARK",AR,USA
545,Pittsburgh,12081,Aislin Malcolm,12,5,10,GUARD,Freshman,0,"CARNEGIE, PA",PA,USA
700,Texas Tech,12081,Jasmine Shavers,3,5,8,GUARD,Freshman,1,"MESQUITE, TEXAS",TX,USA
545,Pittsburgh,12082,Avery,23,5,10,GUARD,Freshman,0,"KNOXVILLE, TN",TN,USA
700,Texas Tech,12082,Ella Tofaeono,1,6,3,CENTER,Senior,0,"SYDNEY, AUSTRALIA",,AUSTRALIA
545,Pittsburgh,12083,Gabby Hutcherson,22,6,2,FORWARD,Junior,0,"WESTERVILLE, OH",OH,USA
700,Texas Tech,12083,Saga Ukkonen,11,5,9,GUARD,Sophomore,0,"HELSINKI, FINLAND",,FINLAND
545,Pittsburgh,12084,Channise Lewis,10,5,8,GUARD,Graduate Student,0,"MIAMI, FL",FL,USA
700,Texas Tech,12084,Tatum Veitenheimer,32,5,8,GUARD,Senior,0,"WINDTHORST, TEXAS",TX,USA
700,Texas Tech,12085,Lana Wenger,14,6,4,FORWARD,Sophomore,0,"HERSBERG, SWITZERLAND",,SWITZERLAND
700,Texas Tech,12086,Kilah Freelon,2,6,1,GUARD/FORWARD,Freshman,0,"DENVER, COLO",CO,USA
